transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
7,LTO10,DEVILS,2017,6/21/2017,5,Symphyllia,22,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,7.5,NA,0,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,10,Rumphella,11,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,12.5,NA,0,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,15,NA,0,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,17.5,NA,0,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,20,NA,0,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,22.5,Acropora ,11,NA,0,NA,0,NA,0
7,LTO10,DEVILS,2017,6/21/2017,25,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,0,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,2.5,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,5,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,7.5,Favia,11,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,10,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,12.5,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,15,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,17.5,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,20,Pocillopora,11,Favia,11,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,22.5,NA,0,NA,0,NA,0,NA,0
8,LTO13,PAO,2017,6/22/2017,25,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,0,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,2.5,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,5,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,7.5,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,10,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,12.5,Acropora ,11,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,15,NA,0,NA,0,NA,0,NA,0
